Age group,Gender,Occupation,How would you feel if Netflix DOES have 4k streaming?,How would you feel if Netflix DOES NOT have 4k streaming?,How would you feel if Netflix DOES have personalized recommendations?,How would you feel if Netflix DOES NOT have personalized recommendations?,How would you feel if Netflix DOES have offline viewing (downloading)?,How would you feel if Netflix DOES NOT have offline viewing (downloading)?,How would you feel if Netflix DOES have multi device support?,How would you feel if Netflix DOES NOT have multi device support?,How would you feel if Netflix DOES have profile support?,How would you feel if Netflix DOES NOT have profile support?,How would you feel if Netflix DOES offer a cheaper ad-supported pricing plan?,How would you feel if Netflix DOES NOT offer a cheaper ad-supported pricing plan?,How would you feel if Netflix DOES have watch parties?,How would you feel if Netflix DOES NOT have watch parties?,How would you feel if Netflix DOES have interactive content?,How would you feel if Netflix DOES NOT have interactive content?,How would you feel if Netflix DOES have Top 10 in your country?,How would you feel if Netflix DOES NOT have Top 10 in your country?,How would you feel if Netflix DOES have advanced audio features?,How would you feel if Netflix DOES NOT have advanced audio features?,How would you feel if Netflix DOES have child profiles with additional parental controls?,How would you feel if Netflix DOES NOT have child profiles with additional parental controls?,How would you feel if Netflix DOES have friend activity?,How would you feel if Netflix DOES NOT have friend activity?,How would you feel if Netflix DOES have pay-per-view films that release alongside theater?,How would you feel if Netflix DOES NOT have pay-per-view films that release alongside theater?,How would you feel if Netflix DOES have surprise me?,How would you feel if Netflix DOES NOT have surprise me?
18 - 24,Male,Student,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I expect it,I can tolerate it,I'm neutral to it,I'm neutral to it,I like it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I expect it,I dislike it,I expect it,I'm neutral to it,I expect it,I'm neutral to it,I like it,I can tolerate it,I'm neutral to it,I'm neutral to it,I expect it,I'm neutral to it
18 - 24,Male,Student,I expect it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I like it,I dislike it,I like it,I'm neutral to it,I dislike it,I expect it,I like it,I expect it,I'm neutral to it,I'm neutral to it,I expect it,I can tolerate it,I like it,I dislike it,I like it,I'm neutral to it,I expect it,I'm neutral to it,I can tolerate it,I'm neutral to it,I like it,I'm neutral to it
25 - 34,Male,Student,I can tolerate it,I can tolerate it,I expect it,I can tolerate it,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I expect it,I can tolerate it,I'm neutral to it,I can tolerate it,I'm neutral to it,I can tolerate it,I expect it,I can tolerate it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I expect it,I'm neutral to it,I can tolerate it,I like it,I can tolerate it
18 - 24,Female,Student,I'm neutral to it,I'm neutral to it,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I like it,I dislike it,I'm neutral to it,I'm neutral to it,I like it,I can tolerate it,I like it,I'm neutral to it,I like it,I can tolerate it,I like it,I'm neutral to it,I dislike it,I expect it,I like it,I'm neutral to it
18 - 24,Male,Student,I expect it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I can tolerate it,I like it,I like it,I'm neutral to it,I like it,I'm neutral to it,I like it,I dislike it,I like it,I'm neutral to it,I expect it,I'm neutral to it,I dislike it,I like it,I dislike it,I expect it,I like it,I can tolerate it
18 - 24,Male,Student,I like it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I expect it,I dislike it,I expect it,I dislike it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I like it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I expect it,I'm neutral to it,I'm neutral to it,I expect it,I dislike it,I like it,I like it,I'm neutral to it
18 - 24,Male,Student,I like it,I'm neutral to it,I expect it,I expect it,I expect it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I expect it,I expect it,I'm neutral to it,I'm neutral to it,I like it,I expect it,I expect it,I'm neutral to it,I like it,I dislike it,I like it,I dislike it,I dislike it,I expect it,I can tolerate it,I expect it,I like it,I can tolerate it
25 - 34,Male,Looking,I like it,I dislike it,I expect it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I expect it,I can tolerate it,I can tolerate it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it
18 - 24,Female,Student,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I can tolerate it,I expect it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I expect it,I dislike it,I dislike it,I'm neutral to it,I dislike it,I expect it,I'm neutral to it,I'm neutral to it
18 - 24,Male,Student,I expect it,I can tolerate it,I expect it,I'm neutral to it,I expect it,I can tolerate it,I expect it,I can tolerate it,I expect it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I expect it,I'm neutral to it,I can tolerate it,I like it,I can tolerate it,I expect it,I can tolerate it,I like it,I can tolerate it,I expect it,I can tolerate it
18 - 24,Male,Student,I like it,I can tolerate it,I expect it,I dislike it,I expect it,I can tolerate it,I expect it,I dislike it,I expect it,I dislike it,I like it,I can tolerate it,I like it,I'm neutral to it,I like it,I'm neutral to it,I like it,I can tolerate it,I like it,I'm neutral to it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I'm neutral to it
18 - 24,Female,Student,I expect it,I can tolerate it,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I'm neutral to it,I can tolerate it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I expect it,I can tolerate it,I'm neutral to it,I'm neutral to it,I expect it,I dislike it,I like it,I dislike it
25 - 34,Male,Student,I'm neutral to it,I can tolerate it,I expect it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I expect it,I'm neutral to it,I expect it,I can tolerate it,I can tolerate it,I expect it,I like it,I can tolerate it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I like it,I dislike it,I dislike it,I like it,I like it,I can tolerate it,I like it,I can tolerate it
18 - 24,Prefer not to say,Student,I'm neutral to it,I'm neutral to it,I like it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I'm neutral to it,I like it,I'm neutral to it,I like it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I like it,I'm neutral to it,I like it,I'm neutral to it,I like it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I like it,I'm neutral to it
18 - 24,Male,Student,I like it,I'm neutral to it,I like it,I dislike it,I'm neutral to it,I'm neutral to it,I expect it,I'm neutral to it,I like it,I can tolerate it,I'm neutral to it,I'm neutral to it,I expect it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I like it,I dislike it,I'm neutral to it,I'm neutral to it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
18 - 24,Male,In between jobs,I'm neutral to it,I'm neutral to it,I expect it,I'm neutral to it,I like it,I dislike it,I like it,I dislike it,I expect it,I'm neutral to it,I like it,I dislike it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I expect it,I can tolerate it,I like it,I can tolerate it,I like it,I dislike it,I like it,I expect it,I like it,I can tolerate it,I like it,I'm neutral to it
45 - 59,Female,Homoeopathy physician,I like it,I can tolerate it,I like it,I'm neutral to it,I like it,I'm neutral to it,I like it,I can tolerate it,I expect it,I'm neutral to it,I can tolerate it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I expect it,I'm neutral to it,I expect it,I can tolerate it,I expect it,I dislike it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I like it,I expect it
18 - 24,Female,Employed,I like it,I expect it,I like it,I can tolerate it,I like it,I'm neutral to it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I'm neutral to it,I like it,I'm neutral to it,I expect it,I can tolerate it,I expect it,I can tolerate it,I like it,I can tolerate it,I like it,I'm neutral to it,I like it,I'm neutral to it,I like it,I can tolerate it
45 - 59,Male,Self employed professional ,I expect it,I'm neutral to it,I can tolerate it,I'm neutral to it,I like it,I dislike it,I like it,I dislike it,I expect it,I'm neutral to it,I expect it,I can tolerate it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I like it,I expect it,I expect it,I'm neutral to it,I expect it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I can tolerate it,I expect it,I like it,I'm neutral to it
18 - 24,Male,Student,I expect it,I can tolerate it,I expect it,I dislike it,I like it,I can tolerate it,I expect it,I dislike it,I expect it,I dislike it,I like it,I'm neutral to it,I like it,I'm neutral to it,I like it,I can tolerate it,I like it,I'm neutral to it,I like it,I can tolerate it,I expect it,I dislike it,I dislike it,I like it,I like it,I can tolerate it,I like it,I'm neutral to it
18 - 24,Female,Student,I dislike it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I expect it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I like it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I'm neutral to it,I like it,I can tolerate it,I like it,I can tolerate it
60+,Female,Retired,I like it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I'm neutral to it,I'm neutral to it